2017-01-16 18:03:55 status half-installed gzip:amd64 1.6-4
2017-01-16 18:03:56 status unpacked gzip:amd64 1.6-4
2017-01-16 18:03:56 status unpacked gzip:amd64 1.6-4
2017-01-16 18:03:56 install hostname:amd64 <none> 3.15
2017-01-16 18:03:56 status half-installed hostname:amd64 3.15
2017-01-16 18:03:56 status unpacked hostname:amd64 3.15
2017-01-16 18:03:56 status unpacked hostname:amd64 3.15
2017-01-16 18:03:56 install init:amd64 <none> 1.22
2017-01-16 18:03:56 status half-installed init:amd64 1.22
2017-01-16 18:03:56 status unpacked init:amd64 1.22
2017-01-16 18:03:57 status unpacked init:amd64 1.22
2017-01-16 18:03:57 install insserv:amd64 <none> 1.14.0-5
2017-01-16 18:03:57 status half-installed insserv:amd64 1.14.0-5
2017-01-16 18:03:57 status unpacked insserv:amd64 1.14.0-5
2017-01-16 18:03:57 status unpacked insserv:amd64 1.14.0-5
2017-01-16 18:03:58 install libkmod2:amd64 <none> 18-3
2017-01-16 18:03:58 status half-installed libkmod2:amd64 18-3
2017-01-16 18:03:58 status unpacked libkmod2:amd64 18-3
2017-01-16 18:03:58 status unpacked libkmod2:amd64 18-3
2017-01-16 18:03:58 install libcap2:amd64 <none> 1:2.24-8
2017-01-16 18:03:58 status half-installed libcap2:amd64 1:2.24-8
2017-01-16 18:03:58 status unpacked libcap2:amd64 1:2.24-8
2017-01-16 18:03:59 status unpacked libcap2:amd64 1:2.24-8
2017-01-16 18:03:59 install libcap2-bin:amd64 <none> 1:2.24-8
2017-01-16 18:03:59 status half-installed libcap2-bin:amd64 1:2.24-8
2017-01-16 18:03:59 status unpacked libcap2-bin:amd64 1:2.24-8
2017-01-16 18:03:59 status unpacked libcap2-bin:amd64 1:2.24-8
2017-01-16 18:03:59 install libgcrypt20:amd64 <none> 1.6.3-2+deb8u2
2017-01-16 18:03:59 status half-installed libgcrypt20:amd64 1.6.3-2+deb8u2
2017-01-16 18:04:00 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
